controller,n_runs,scenario,completion_time_s_mean,completion_time_s_std,dyn_body_collision_steps_mean,dyn_body_collision_steps_std,dyn_exclusion_violation_steps_mean,dyn_exclusion_violation_steps_std,goal_reached_mean,goal_reached_std,max_cont_err_mean,max_cont_err_std,max_solve_ms_mean,max_solve_ms_std,mean_cont_err_mean,mean_cont_err_std,mean_lag_err_mean,mean_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,mean_speed_mean,mean_speed_std,min_clearance_m_mean,min_clearance_m_std,min_dyn_body_clearance_mean,min_dyn_body_clearance_std,path_efficiency_mean,path_efficiency_std,rms_cont_err_mean,rms_cont_err_std,rms_lag_err_mean,rms_lag_err_std,smoothness_mean,smoothness_std,solver_fail_count_mean,solver_fail_count_std,static_body_collision_steps_mean,static_body_collision_steps_std,static_zone_violation_steps_mean,static_zone_violation_steps_std,total_body_collision_steps_mean,total_body_collision_steps_std,worst_dyn_excl_depth_mean,worst_dyn_excl_depth_std
mpcc_soft,60,CorridorStructured,55.533333,11.649502,0.066667,0.249444,18.733333,44.111551,0.883333,0.321023,0.982932,0.505213,199.785833,132.336489,0.128927,0.086614,-0.003803,0.006277,40.498,3.760432,0.895217,0.165641,0.279414,0.139984,0.363805,0.157077,1.077868,0.980938,0.250135,0.143686,0.041708,0.025583,12.904907,4.894178,0.033333,0.256038,0.0,0.0,5.833333,32.146107,0.066667,0.249444,0.121673,0.224379
mpcc_soft,60,OpenClutter,53.13,7.400592,0.1,0.3,14.0,11.557105,0.883333,0.321023,1.138098,0.773782,319.2885,135.717356,0.139077,0.099721,-0.008143,0.01425,42.827,3.580682,0.88444,0.265125,0.270727,0.154857,0.352717,0.188599,0.896287,0.300296,0.283345,0.20416,0.04737,0.047174,12.149763,3.479691,0.066667,0.249444,0.0,0.0,1.716667,2.994949,0.1,0.3,0.1408,0.251639
