scenario,controller,n_runs,goal_reached_mean,goal_reached_std,completion_time_s_mean,completion_time_s_std,path_efficiency_mean,path_efficiency_std,mean_speed_mean,mean_speed_std,smoothness_mean,smoothness_std,mean_cont_err_mean,mean_cont_err_std,rms_cont_err_mean,rms_cont_err_std,max_cont_err_mean,max_cont_err_std,mean_lag_err_mean,mean_lag_err_std,rms_lag_err_mean,rms_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,max_solve_ms_mean,max_solve_ms_std,solver_fail_count_mean,solver_fail_count_std,total_body_collisions_mean,total_body_collisions_std,dyn_exclusion_violations_mean,dyn_exclusion_violations_std,near_miss_count_mean,near_miss_count_std,danger_zone_steps_mean,danger_zone_steps_std,min_clearance_m_mean,min_clearance_m_std
Zigzag,mpcc,10,0.2,0.4,22.58,10.8544,2.164,2.6428,0.7901,0.1045,8.7246,4.2838,0.2538,0.0901,0.4008,0.1313,1.0578,0.3454,-0.0143,0.0107,0.0763,0.0375,63.513,7.7301,396.946,183.0176,2.5,1.4318,0.0,0.0,1.9,4.0608,41.0,25.3219,116.9,59.3405,0.2343,0.1028
Sine,mpcc,10,0.5,0.5,25.25,11.564,1.7195,1.6103,0.7548,0.0405,7.5026,3.7258,0.1321,0.0903,0.2811,0.1795,1.0487,0.6351,-0.0053,0.0063,0.0252,0.0016,47.801,2.0761,284.768,80.4584,8.8,6.6151,0.0,0.0,0.0,0.0,29.8,19.7018,65.5,33.3204,0.2613,0.1031
