scenario,controller,n_runs,goal_reached_mean,goal_reached_std,completion_time_s_mean,completion_time_s_std,path_efficiency_mean,path_efficiency_std,mean_speed_mean,mean_speed_std,smoothness_mean,smoothness_std,mean_cont_err_mean,mean_cont_err_std,rms_cont_err_mean,rms_cont_err_std,max_cont_err_mean,max_cont_err_std,mean_lag_err_mean,mean_lag_err_std,rms_lag_err_mean,rms_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,max_solve_ms_mean,max_solve_ms_std,solver_fail_count_mean,solver_fail_count_std,total_body_collisions_mean,total_body_collisions_std,dyn_exclusion_violations_mean,dyn_exclusion_violations_std,near_miss_count_mean,near_miss_count_std,danger_zone_steps_mean,danger_zone_steps_std,min_clearance_m_mean,min_clearance_m_std
Zigzag,mpcc_soft,10,0.2,0.4,70.4,15.6467,2.7333,1.3338,0.2015,0.2261,5.3153,5.074,0.094,0.0677,0.1479,0.1347,0.5792,0.591,0.0047,0.0337,0.0519,0.086,34.859,5.3956,210.968,85.1729,1.4,1.9596,0.2,0.6,10.2,12.8748,20.4,30.1702,194.4,259.5038,0.3748,0.2544
Sine,mpcc_soft,10,0.9,0.3,32.24,7.0408,0.8995,0.3597,0.7554,0.0582,10.4423,2.1811,0.1485,0.0458,0.2916,0.0775,0.9805,0.2042,-0.0026,0.0038,0.031,0.0118,27.275,3.1019,164.632,55.5292,6.5,4.1773,0.3,0.9,13.1,9.3,30.7,8.6608,98.3,24.1415,0.1508,0.113
