scenario,controller,n_runs,goal_reached_mean,goal_reached_std,completion_time_s_mean,completion_time_s_std,path_efficiency_mean,path_efficiency_std,mean_speed_mean,mean_speed_std,smoothness_mean,smoothness_std,mean_cont_err_mean,mean_cont_err_std,rms_cont_err_mean,rms_cont_err_std,max_cont_err_mean,max_cont_err_std,mean_lag_err_mean,mean_lag_err_std,rms_lag_err_mean,rms_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,max_solve_ms_mean,max_solve_ms_std,solver_fail_count_mean,solver_fail_count_std,total_body_collisions_mean,total_body_collisions_std,dyn_exclusion_violations_mean,dyn_exclusion_violations_std,near_miss_count_mean,near_miss_count_std,danger_zone_steps_mean,danger_zone_steps_std,min_clearance_m_mean,min_clearance_m_std
Zigzag,mpc_hard,10,0.2,0.4,11.17,10.2612,4.009,2.2915,0.7633,0.1552,2.748,2.9792,0.101,0.0765,0.1727,0.1106,0.4929,0.3042,-0.0018,0.0092,0.0233,0.011,51.197,49.3223,229.001,125.8501,2.4,4.005,0.0,0.0,4.7,5.693,29.6,64.4363,49.0,79.5538,0.3806,0.2088
Sine,mpc_hard,10,0.2,0.4,17.9,8.0947,1.7874,1.1293,0.841,0.0251,6.2578,3.0717,0.1111,0.0479,0.2177,0.0839,0.7152,0.2561,-0.0015,0.0016,0.0177,0.0023,20.973,8.0395,208.669,100.0557,1.4,1.6248,0.0,0.0,1.4,1.3565,19.3,12.6969,56.8,31.333,0.265,0.0784
