scenario,controller,n_runs,goal_reached_mean,goal_reached_std,completion_time_s_mean,completion_time_s_std,path_efficiency_mean,path_efficiency_std,mean_speed_mean,mean_speed_std,smoothness_mean,smoothness_std,mean_cont_err_mean,mean_cont_err_std,rms_cont_err_mean,rms_cont_err_std,max_cont_err_mean,max_cont_err_std,mean_lag_err_mean,mean_lag_err_std,rms_lag_err_mean,rms_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,max_solve_ms_mean,max_solve_ms_std,solver_fail_count_mean,solver_fail_count_std,total_body_collisions_mean,total_body_collisions_std,dyn_exclusion_violations_mean,dyn_exclusion_violations_std,near_miss_count_mean,near_miss_count_std,danger_zone_steps_mean,danger_zone_steps_std,min_clearance_m_mean,min_clearance_m_std
Zigzag,mpc_soft,10,0.9,0.3,30.08,6.4282,1.2691,0.4104,0.6176,0.2251,8.731,3.6705,0.3392,0.1072,0.4769,0.1794,1.2949,0.6069,0.004,0.0067,0.0364,0.024,108.845,52.8193,473.357,148.2706,0.2,0.4,1.0,3.0,31.0,14.3457,142.1,77.3685,214.3,68.2687,0.143,0.1379
Sine,mpc_soft,10,1.0,0.0,29.83,0.09,0.7886,0.0214,0.8521,0.0247,11.0193,2.1242,0.1846,0.0863,0.3418,0.1261,1.097,0.3168,0.0001,0.0017,0.0177,0.002,30.79,2.1633,182.461,118.8376,0.1,0.3,0.2,0.6,8.4,9.625,41.1,17.3289,103.5,22.5843,0.1944,0.0693
