scenario,controller,n_runs,goal_reached_mean,goal_reached_std,completion_time_s_mean,completion_time_s_std,path_efficiency_mean,path_efficiency_std,mean_speed_mean,mean_speed_std,smoothness_mean,smoothness_std,mean_cont_err_mean,mean_cont_err_std,rms_cont_err_mean,rms_cont_err_std,max_cont_err_mean,max_cont_err_std,mean_lag_err_mean,mean_lag_err_std,rms_lag_err_mean,rms_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,max_solve_ms_mean,max_solve_ms_std,solver_fail_count_mean,solver_fail_count_std,total_body_collisions_mean,total_body_collisions_std,dyn_exclusion_violations_mean,dyn_exclusion_violations_std,near_miss_count_mean,near_miss_count_std,danger_zone_steps_mean,danger_zone_steps_std,min_clearance_m_mean,min_clearance_m_std
Zigzag,mpcc_hard,10,0.0,0.0,56.55,29.4986,3.6494,0.7244,0.1944,0.2195,1.9231,1.908,0.0517,0.0261,0.0708,0.0474,0.275,0.2894,-0.0052,0.0157,0.0243,0.0105,28.547,3.4285,147.207,75.1273,42.7,82.4124,0.0,0.0,0.1,0.3,2.2,6.6,86.6,220.1537,0.5368,0.2083
Sine,mpcc_hard,10,0.3,0.4583,22.69,10.1359,1.4487,0.7397,0.7655,0.0826,7.0993,2.9759,0.1245,0.0374,0.2507,0.0509,0.8524,0.1832,-0.0052,0.0035,0.0265,0.0051,25.049,3.7269,194.339,83.3626,41.1,26.8978,0.0,0.0,0.5,0.6708,18.7,10.4312,66.0,28.0963,0.243,0.0422
