scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpcc_hard,10,10,goal_reached,low,4,1,566,56.6,52.7561,0.847,0.9321,0.0461,7.1962,0.0129,0.0272,0.1211,0.0239,-0.0034,0.0285,0.0494,0.0283,57.25,130.33,7.81,0,0,0,0,0,0,0.0,,,0.368394,264,2,1.0371,3,0.0,0.0,0.368394,
CorridorStructured,mpcc_hard,10,7,goal_reached,low,4,1,563,56.3,52.4657,0.8517,0.9319,0.0462,7.0245,0.0147,0.036,0.2867,0.0329,-0.0036,0.029,0.0494,0.0287,58.04,245.08,11.96,0,0,0,0,0,0,0.0,355,2,0.535657,355,2,1.0053,3,0.0,0.0,0.413265,
CorridorStructured,mpcc_hard,10,5,goal_reached,low,4,1,567,56.7,53.4167,0.8365,0.9421,0.0874,11.9256,0.0884,0.2011,0.9241,0.1807,0.0062,0.029,0.0495,0.0283,57.71,392.48,17.04,0,0,0,0,0,0,0.0,472,2,0.442833,475,2,0.9982,2,0.0,0.0,0.438724,
CorridorStructured,mpcc_hard,10,3,goal_reached,low,4,1,570,57.0,53.188,0.8401,0.9331,0.046,7.681,0.0197,0.0513,0.3399,0.0474,-0.0032,0.0306,0.2544,0.0305,57.55,153.55,9.07,0,0,0,0,0,0,0.0,,,0.466606,356,2,0.9965,3,0.0,0.0,0.210124,
CorridorStructured,mpcc_hard,10,4,max_steps,low,4,0,800,80.0,31.5354,1.4169,0.3942,0.4578,7.2491,0.0352,0.0438,0.1211,0.026,-0.0041,0.0207,0.0494,0.0203,41.97,91.77,9.06,0,0,0,0,0,0,0.0,,,0.749306,706,2,1.2212,3,0.0,0.0,0.475479,
CorridorStructured,mpcc_hard,10,9,solver_fail:Infeasible_Problem_Detected,mid,8,0,114,11.4,10.7316,4.1638,0.9414,0.0915,0.133,0.0065,0.0207,0.0912,0.0197,-0.0061,0.0278,0.0494,0.0272,37.96,186.83,14.49,1,0,0,0,1,0,0.078487,113,4,0.412109,113,4,1.1404,3,0.0,0.0,0.412109,
CorridorStructured,mpcc_hard,10,8,solver_fail:Infeasible_Problem_Detected,mid,8,0,136,13.6,12.534,3.565,0.9216,0.166,3.8445,0.2404,0.4813,1.3019,0.417,-0.0025,0.0296,0.0494,0.0295,60.83,860.52,109.68,4,0,0,0,0,0,0.0,121,5,0.433818,119,5,1.2647,3,6.72026e-05,0.0047210068,0.433818,
CorridorStructured,mpcc_hard,10,12,solver_fail:Infeasible_Problem_Detected,mid,8,0,83,8.3,7.7319,5.7791,0.9316,0.1039,0.1776,0.0005,0.003,0.0186,0.0029,-0.0051,0.029,0.0494,0.0285,63.69,573.74,56.64,1,0,0,0,0,0,0.0,,,1.296587,82,4,1.2771,3,0.0,0.0,0.867338,
CorridorStructured,mpcc_hard,10,3,solver_fail:Infeasible_Problem_Detected,mid,8,0,309,30.9,29.0375,1.5388,0.9397,0.1108,6.7914,0.0913,0.1899,0.8189,0.1665,-0.001,0.0253,0.0494,0.0252,61.45,626.8,33.69,2,0,0,0,1,0,0.021202,308,5,0.493479,239,0,1.8155,4,3.69e-08,1.13944e-05,0.307468,
CorridorStructured,mpcc_hard,10,0,solver_fail:Infeasible_Problem_Detected,mid,8,0,556,55.6,50.2326,0.8895,0.9035,0.1843,15.0404,0.0895,0.2019,0.7495,0.181,-0.0058,0.0452,0.4404,0.0448,42.36,588.88,33.14,1,0,0,0,0,0,0.0,397,4,0.41989,135,7,1.9604,4,0.0,0.0,0.396894,
