controller,n_runs,scenario,weight_factor,weight_name,weight_value,completion_time_s_mean,completion_time_s_std,dyn_body_collision_steps_mean,dyn_body_collision_steps_std,dyn_exclusion_violation_steps_mean,dyn_exclusion_violation_steps_std,goal_reached_mean,goal_reached_std,max_cont_err_mean,max_cont_err_std,max_solve_ms_mean,max_solve_ms_std,mean_cont_err_mean,mean_cont_err_std,mean_lag_err_mean,mean_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,mean_speed_mean,mean_speed_std,min_clearance_m_mean,min_clearance_m_std,min_dyn_body_clearance_mean,min_dyn_body_clearance_std,path_efficiency_mean,path_efficiency_std,rms_cont_err_mean,rms_cont_err_std,rms_lag_err_mean,rms_lag_err_std,smoothness_mean,smoothness_std,solver_fail_count_mean,solver_fail_count_std,static_body_collision_steps_mean,static_body_collision_steps_std,static_zone_violation_steps_mean,static_zone_violation_steps_std,total_body_collision_steps_mean,total_body_collision_steps_std,worst_dyn_excl_depth_mean,worst_dyn_excl_depth_std
mpcc_hard,30,CorridorStructured,2.0,q_cont,6.0,37.893333,20.227142,0.0,0.0,0.3,0.525991,0.333333,0.471405,0.753037,0.448428,294.236,182.476598,0.08977,0.064513,-0.00408,0.004665,31.103333,2.7791,0.870283,0.271449,0.354806,0.111502,0.488949,0.22292,1.95686,1.36544,0.189873,0.121679,0.037437,0.021887,8.282037,5.286495,0.9,0.830662,0.0,0.0,0.466667,0.956847,0.0,0.0,0.013994,0.030104
mpcc_hard,30,CorridorStructured,0.5,q_vs,5.0,35.646667,19.51083,0.0,0.0,0.233333,0.422953,0.233333,0.422953,0.684097,0.386192,265.138667,153.916144,0.086047,0.056814,-0.004407,0.004111,30.285,2.344082,0.87945,0.220322,0.36426,0.115849,0.493111,0.218751,2.058183,1.383085,0.174827,0.100455,0.035787,0.020943,7.44834,4.678075,0.833333,0.582142,0.0,0.0,0.366667,0.835996,0.0,0.0,0.012091,0.027198
mpcc_hard,30,CorridorStructured,1.0,q_vs,10.0,39.5,20.845447,0.0,0.0,0.3,0.525991,0.4,0.489898,0.771407,0.37032,260.328333,146.129089,0.103613,0.065121,-0.00578,0.008158,30.160333,3.258891,0.91943,0.098397,0.343279,0.116685,0.490435,0.224519,1.92106,1.401572,0.2064,0.115279,0.041203,0.031843,8.35845,5.273344,0.666667,0.699206,0.0,0.0,0.466667,1.146977,0.0,0.0,0.015688,0.035566
mpcc_hard,30,CorridorStructured,2.0,q_vs,20.0,39.92,20.342556,0.0,0.0,0.333333,0.596285,0.4,0.489898,0.92982,0.635941,299.429333,194.796016,0.122103,0.093753,-0.005717,0.00947,31.273,3.281506,0.86195,0.311128,0.360305,0.115613,0.495733,0.224516,1.876327,1.378317,0.239577,0.160179,0.043763,0.037914,8.482807,5.332475,0.766667,0.882547,0.0,0.0,0.633333,1.328742,0.0,0.0,0.012863,0.034123
mpcc_hard,30,CorridorStructured,0.5,rho_dyn,50000.0,39.5,20.845447,0.0,0.0,0.3,0.525991,0.4,0.489898,0.771407,0.37032,258.141667,138.870999,0.103613,0.065121,-0.00578,0.008158,30.345,3.040467,0.91943,0.098397,0.343279,0.116685,0.490435,0.224519,1.92106,1.401572,0.2064,0.115279,0.041203,0.031843,8.35845,5.273344,0.666667,0.699206,0.0,0.0,0.466667,1.146977,0.0,0.0,0.015688,0.035566
mpcc_hard,30,CorridorStructured,1.0,rho_dyn,100000.0,39.5,20.845447,0.0,0.0,0.3,0.525991,0.4,0.489898,0.771407,0.37032,247.848,130.891833,0.103613,0.065121,-0.00578,0.008158,30.758667,3.255228,0.91943,0.098397,0.343279,0.116685,0.490435,0.224519,1.92106,1.401572,0.2064,0.115279,0.041203,0.031843,8.35845,5.273344,0.666667,0.699206,0.0,0.0,0.466667,1.146977,0.0,0.0,0.015688,0.035566
mpcc_hard,30,CorridorStructured,2.0,rho_dyn,200000.0,39.5,20.845447,0.0,0.0,0.3,0.525991,0.4,0.489898,0.771407,0.37032,267.961333,161.208422,0.103613,0.065121,-0.00578,0.008158,30.462,3.377202,0.91943,0.098397,0.343279,0.116685,0.490435,0.224519,1.92106,1.401572,0.2064,0.115279,0.041203,0.031843,8.35845,5.273344,0.666667,0.699206,0.0,0.0,0.466667,1.146977,0.0,0.0,0.015688,0.035566
mpcc_soft,30,OpenClutter,0.5,q_cont,1.5,54.076667,7.662144,0.033333,0.179505,11.466667,9.450691,0.966667,0.179505,1.047057,0.517145,466.324,416.094897,0.143057,0.082957,-0.004437,0.005099,62.033667,18.136597,0.863723,0.259542,0.253263,0.123761,0.399359,0.170871,0.902967,0.430763,0.271227,0.146122,0.039357,0.021441,12.551387,4.189052,0.1,0.3,0.0,0.0,2.866667,4.006106,0.033333,0.179505,0.102779,0.203315
mpcc_soft,30,OpenClutter,1.0,q_cont,3.0,51.886667,10.644928,0.1,0.3,11.2,9.067892,0.9,0.3,1.06332,0.585661,508.37,251.843529,0.12467,0.077601,-0.005063,0.004117,64.421333,18.765731,0.828153,0.356311,0.266814,0.143183,0.381794,0.190475,0.98697,0.552617,0.25515,0.153062,0.037167,0.019213,12.117,3.860205,0.066667,0.249444,0.0,0.0,1.933333,3.244825,0.1,0.3,0.125672,0.231684
mpcc_soft,30,OpenClutter,2.0,q_cont,6.0,52.143333,10.790325,0.1,0.3,11.9,9.603298,0.9,0.3,0.950733,0.561349,584.835,268.638753,0.101193,0.069581,-0.006173,0.004478,65.133333,18.377929,0.873493,0.251408,0.283361,0.160461,0.368279,0.210894,0.986963,0.548311,0.217517,0.140663,0.035067,0.018002,12.36709,4.209411,0.133333,0.426875,0.0,0.0,1.533333,3.537733,0.1,0.3,0.14272,0.268892
