scenario,n_runs,goal_reached_mean,goal_reached_std,completion_time_s_mean,completion_time_s_std,path_efficiency_mean,path_efficiency_std,mean_speed_mean,mean_speed_std,smoothness_mean,smoothness_std,mean_cont_err_mean,mean_cont_err_std,rms_cont_err_mean,rms_cont_err_std,max_cont_err_mean,max_cont_err_std,mean_lag_err_mean,mean_lag_err_std,rms_lag_err_mean,rms_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,max_solve_ms_mean,max_solve_ms_std,solver_fail_count_mean,solver_fail_count_std,total_body_collisions_mean,total_body_collisions_std,dyn_exclusion_violations_mean,dyn_exclusion_violations_std,near_miss_count_mean,near_miss_count_std,danger_zone_steps_mean,danger_zone_steps_std,min_clearance_m_mean,min_clearance_m_std
Zigzag,10,0.1,0.3,10.75,8.0084,3.4857,2.4254,0.8402,0.1515,3.1387,1.6785,0.1653,0.0792,0.2747,0.1022,0.7254,0.1951,-0.0012,0.0045,0.0279,0.0067,37.778,24.379,225.241,107.3423,1.5,1.118,0.0,0.0,7.1,4.0361,30.7,61.4395,58.3,75.9566,0.2269,0.0595
Sine,10,0.3,0.4583,15.48,9.9506,2.456,1.4526,0.8057,0.0387,4.6011,3.3215,0.0438,0.043,0.0972,0.1,0.3799,0.3861,-0.0008,0.002,0.0156,0.0013,15.509,3.8081,173.544,98.0525,1.2,0.8718,0.0,0.0,0.4,0.4899,12.6,13.3656,35.1,32.4668,0.3647,0.1783
