scenario,n_runs,goal_reached_mean,goal_reached_std,completion_time_s_mean,completion_time_s_std,path_efficiency_mean,path_efficiency_std,mean_speed_mean,mean_speed_std,smoothness_mean,smoothness_std,mean_cont_err_mean,mean_cont_err_std,rms_cont_err_mean,rms_cont_err_std,max_cont_err_mean,max_cont_err_std,mean_lag_err_mean,mean_lag_err_std,rms_lag_err_mean,rms_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,max_solve_ms_mean,max_solve_ms_std,solver_fail_count_mean,solver_fail_count_std,total_body_collisions_mean,total_body_collisions_std,dyn_exclusion_violations_mean,dyn_exclusion_violations_std,near_miss_count_mean,near_miss_count_std,danger_zone_steps_mean,danger_zone_steps_std,min_clearance_m_mean,min_clearance_m_std
Zigzag,10,1.0,0.0,29.8,0.0,0.8036,0.0114,0.8353,0.0117,9.7051,1.2571,0.122,0.0235,0.2255,0.0487,0.8119,0.1534,0.0001,0.001,0.0179,0.0017,22.516,4.5598,115.601,112.4573,0.0,0.0,5.5,0.5,7.2,2.5612,48.9,1.9723,114.9,9.8127,-0.1433,0.003
Sine,10,1.0,0.0,30.25,0.9036,0.8049,0.0272,0.8237,0.0183,8.7752,1.376,0.2011,0.117,0.3519,0.1839,1.044,0.4739,0.0146,0.0465,0.0693,0.157,17.275,3.9752,134.98,63.5785,13.1,38.6353,6.5,3.3838,11.1,9.0493,51.1,17.3519,101.7,15.761,-0.0058,0.0021
