scenario,n_runs,goal_reached_mean,goal_reached_std,completion_time_s_mean,completion_time_s_std,path_efficiency_mean,path_efficiency_std,mean_speed_mean,mean_speed_std,smoothness_mean,smoothness_std,mean_cont_err_mean,mean_cont_err_std,rms_cont_err_mean,rms_cont_err_std,max_cont_err_mean,max_cont_err_std,mean_lag_err_mean,mean_lag_err_std,rms_lag_err_mean,rms_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,max_solve_ms_mean,max_solve_ms_std,solver_fail_count_mean,solver_fail_count_std,total_body_collisions_mean,total_body_collisions_std,dyn_exclusion_violations_mean,dyn_exclusion_violations_std,near_miss_count_mean,near_miss_count_std,danger_zone_steps_mean,danger_zone_steps_std,min_clearance_m_mean,min_clearance_m_std
Zigzag,10,0.7,0.4583,25.92,8.6823,1.3113,0.471,0.7229,0.2185,7.8334,2.9971,0.2807,0.0871,0.4094,0.1314,1.0738,0.4511,0.0003,0.009,0.0357,0.021,67.036,43.0892,282.708,100.098,0.3,0.4583,0.7,2.1,29.4,11.8507,100.0,79.0544,167.6,80.526,0.1419,0.1384
Sine,10,0.9,0.3,27.95,5.55,0.9621,0.537,0.8415,0.0519,10.3891,3.0362,0.1633,0.0758,0.3242,0.1413,1.0873,0.4349,0.0003,0.001,0.0175,0.0012,22.625,1.8024,151.875,71.9112,0.1,0.3,0.0,0.0,5.5,7.2422,36.3,11.082,91.4,27.6847,0.213,0.016
