scenario,n_runs,goal_reached_mean,goal_reached_std,completion_time_s_mean,completion_time_s_std,path_efficiency_mean,path_efficiency_std,mean_speed_mean,mean_speed_std,smoothness_mean,smoothness_std,mean_cont_err_mean,mean_cont_err_std,rms_cont_err_mean,rms_cont_err_std,max_cont_err_mean,max_cont_err_std,mean_lag_err_mean,mean_lag_err_std,rms_lag_err_mean,rms_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,max_solve_ms_mean,max_solve_ms_std,solver_fail_count_mean,solver_fail_count_std,total_body_collisions_mean,total_body_collisions_std,dyn_exclusion_violations_mean,dyn_exclusion_violations_std,near_miss_count_mean,near_miss_count_std,danger_zone_steps_mean,danger_zone_steps_std,min_clearance_m_mean,min_clearance_m_std
Zigzag,10,1.0,0.0,36.53,2.5199,0.6947,0.0126,0.7919,0.0538,14.4754,2.4577,0.2717,0.0385,0.4298,0.0438,1.2633,0.1769,-0.2277,0.5712,0.7652,0.2261,37.913,1.752,276.104,96.1147,5.2,6.0133,0.0,0.0,12.9,11.4057,59.1,9.0934,168.1,17.0026,0.1847,0.0007
Sine,10,1.0,0.0,35.22,1.9467,0.7703,0.0204,0.7406,0.0354,11.1561,1.8063,0.167,0.0665,0.3508,0.1281,1.2883,0.3994,0.059,0.1017,0.1317,0.0675,28.497,2.6954,202.697,101.921,4.1,5.5758,0.0,0.0,4.1,5.2048,37.6,10.8093,97.5,19.7396,0.2139,0.0149
