x,y
7.000000000000000666e-01,8.000000000000000444e-01
7.333333333333333925e-01,7.666666666666668295e-01
7.666666666666667185e-01,7.333333333333333925e-01
8.000000000000000444e-01,7.000000000000000666e-01
8.000000000000001554e-01,6.600000000000000311e-01
8.000000000000000444e-01,6.200000000000001066e-01
8.000000000000000444e-01,5.800000000000000711e-01
8.000000000000000444e-01,5.400000000000000355e-01
8.000000000000000444e-01,5.000000000000000000e-01
8.500000000000000888e-01,5.000000000000000000e-01
9.000000000000000222e-01,5.000000000000000000e-01
9.500000000000001776e-01,5.000000000000000000e-01
1.000000000000000000e+00,5.000000000000000000e-01
1.050000000000000044e+00,5.000000000000000000e-01
1.100000000000000089e+00,5.000000000000000000e-01
1.150000000000000133e+00,5.000000000000000000e-01
1.200000000000000178e+00,5.000000000000000000e-01
1.250000000000000222e+00,5.000000000000000000e-01
1.300000000000000044e+00,5.000000000000000000e-01
1.350000000000000089e+00,5.000000000000000000e-01
1.399999999999999911e+00,5.000000000000000000e-01
1.450000000000000178e+00,5.000000000000000000e-01
1.500000000000000000e+00,5.000000000000000000e-01
1.550000000000000044e+00,5.000000000000000000e-01
1.600000000000000089e+00,5.000000000000000000e-01
1.649999999999999911e+00,5.000000000000000000e-01
1.700000000000000178e+00,5.000000000000000000e-01
1.750000000000000222e+00,5.000000000000000000e-01
1.800000000000000266e+00,5.000000000000000000e-01
1.850000000000000089e+00,5.000000000000000000e-01
1.900000000000000133e+00,5.000000000000000000e-01
1.949999999999999956e+00,5.000000000000000000e-01
2.000000000000000000e+00,5.000000000000000000e-01
2.050000000000000266e+00,5.000000000000000000e-01
2.100000000000000089e+00,5.000000000000000000e-01
2.149999999999999911e+00,5.000000000000000000e-01
2.200000000000000178e+00,5.000000000000000000e-01
2.233333333333333837e+00,5.333333333333333259e-01
2.266666666666667052e+00,5.666666666666666519e-01
2.300000000000000266e+00,6.000000000000000888e-01
2.333333333333333481e+00,6.333333333333333037e-01
2.366666666666667140e+00,6.666666666666667407e-01
2.400000000000000355e+00,6.999999999999999556e-01
2.433333333333333570e+00,7.333333333333333925e-01
2.466666666666666785e+00,7.666666666666666075e-01
2.500000000000000000e+00,8.000000000000000444e-01
2.533333333333333659e+00,8.333333333333332593e-01
2.566666666666666874e+00,8.666666666666666963e-01
2.600000000000000089e+00,9.000000000000000222e-01
2.633333333333333748e+00,9.333333333333333481e-01
2.666666666666666519e+00,9.666666666666666741e-01
2.700000000000000178e+00,1.000000000000000000e+00
2.750000000000000000e+00,1.000000000000000000e+00
2.800000000000000266e+00,1.000000000000000000e+00
2.849999999999999645e+00,1.000000000000000000e+00
2.900000000000000355e+00,1.000000000000000000e+00
2.950000000000000178e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
3.049999999999999822e+00,1.000000000000000000e+00
3.100000000000000533e+00,1.000000000000000000e+00
3.150000000000000355e+00,1.000000000000000000e+00
3.200000000000000178e+00,1.000000000000000000e+00
3.200000000000000622e+00,1.040000000000000036e+00
3.200000000000000178e+00,1.080000000000000071e+00
3.200000000000000178e+00,1.120000000000000107e+00
3.200000000000000178e+00,1.160000000000000142e+00
3.200000000000000178e+00,1.200000000000000178e+00
3.233333333333333393e+00,1.233333333333333393e+00
3.266666666666667052e+00,1.266666666666666829e+00
3.300000000000000266e+00,1.300000000000000266e+00
3.333333333333333925e+00,1.333333333333333481e+00
3.366666666666666252e+00,1.366666666666666696e+00
3.400000000000000355e+00,1.400000000000000133e+00
3.433333333333333570e+00,1.433333333333333570e+00
3.466666666666666785e+00,1.466666666666666785e+00
3.500000000000000000e+00,1.500000000000000222e+00
3.533333333333333215e+00,1.533333333333333437e+00
3.566666666666666430e+00,1.566666666666666874e+00
3.600000000000000089e+00,1.600000000000000089e+00
3.600000000000000089e+00,1.650000000000000133e+00
3.600000000000000089e+00,1.700000000000000178e+00
3.600000000000000089e+00,1.750000000000000000e+00
3.600000000000000089e+00,1.800000000000000044e+00
3.633333333333333304e+00,1.833333333333333259e+00
3.666666666666666963e+00,1.866666666666666696e+00
3.700000000000000178e+00,1.899999999999999911e+00
3.733333333333333393e+00,1.933333333333333348e+00
3.766666666666666607e+00,1.966666666666666785e+00
3.800000000000000266e+00,2.000000000000000000e+00
3.847058823529411864e+00,2.000000000000000000e+00
3.894117647058823906e+00,2.000000000000000000e+00
3.941176470588235503e+00,2.000000000000000000e+00
3.988235294117647101e+00,2.000000000000000000e+00
4.035294117647058698e+00,2.000000000000000000e+00
4.082352941176470296e+00,2.000000000000000000e+00
4.129411764705882781e+00,2.000000000000000000e+00
4.176470588235294379e+00,2.000000000000000000e+00
4.223529411764705976e+00,2.000000000000000000e+00
4.270588235294118462e+00,2.000000000000000000e+00
4.317647058823530060e+00,2.000000000000000000e+00
4.364705882352941657e+00,2.000000000000000000e+00
4.411764705882353255e+00,2.000000000000000000e+00
4.458823529411764852e+00,2.000000000000000000e+00
4.505882352941177338e+00,2.000000000000000000e+00
4.552941176470588935e+00,2.000000000000000000e+00
4.600000000000000533e+00,2.000000000000000000e+00
4.633333333333333748e+00,2.033333333333333215e+00
4.666666666666666963e+00,2.066666666666666874e+00
4.700000000000001066e+00,2.100000000000000089e+00
4.733333333333334281e+00,2.133333333333333304e+00
4.766666666666667496e+00,2.166666666666666963e+00
4.800000000000000711e+00,2.200000000000000178e+00
4.833333333333333925e+00,2.233333333333333393e+00
4.866666666666667140e+00,2.266666666666666607e+00
4.900000000000000355e+00,2.299999999999999822e+00
4.933333333333333570e+00,2.333333333333333037e+00
4.966666666666666785e+00,2.366666666666666696e+00
5.000000000000000888e+00,2.399999999999999911e+00
5.033333333333334103e+00,2.433333333333333570e+00
5.066666666666667318e+00,2.466666666666666785e+00
5.100000000000000533e+00,2.500000000000000000e+00
5.100000000000000533e+00,2.549999999999999822e+00
5.100000000000000533e+00,2.600000000000000089e+00
5.100000000000000533e+00,2.649999999999999911e+00
5.099999999999999645e+00,2.700000000000000178e+00
5.100000000000000533e+00,2.750000000000000000e+00
5.100000000000000533e+00,2.799999999999999822e+00
5.100000000000000533e+00,2.850000000000000089e+00
5.100000000000000533e+00,2.899999999999999911e+00
5.100000000000000533e+00,2.950000000000000178e+00
5.100000000000000533e+00,3.000000000000000000e+00
5.100000000000001421e+00,3.050000000000000266e+00
5.099999999999999645e+00,3.099999999999999645e+00
5.100000000000000533e+00,3.150000000000000355e+00
5.100000000000000533e+00,3.200000000000000178e+00
5.100000000000000533e+00,3.250000000000000000e+00
5.100000000000000533e+00,3.299999999999999822e+00
5.100000000000000533e+00,3.350000000000000089e+00
5.100000000000000533e+00,3.400000000000000355e+00
5.100000000000000533e+00,3.450000000000000178e+00
5.100000000000000533e+00,3.500000000000000000e+00
