x,y
8.000000000000000444e-01,8.400000000000000355e+00
8.333333333333334814e-01,8.366666666666667140e+00
8.666666666666666963e-01,8.333333333333333925e+00
9.000000000000000222e-01,8.300000000000000711e+00
9.499999999999999556e-01,8.300000000000000711e+00
1.000000000000000000e+00,8.300000000000000711e+00
1.033333333333333437e+00,8.266666666666667496e+00
1.066666666666666874e+00,8.233333333333334281e+00
1.100000000000000089e+00,8.200000000000001066e+00
1.149999999999999911e+00,8.200000000000001066e+00
1.200000000000000178e+00,8.200000000000001066e+00
1.250000000000000000e+00,8.200000000000001066e+00
1.300000000000000266e+00,8.200000000000001066e+00
1.350000000000000089e+00,8.200000000000001066e+00
1.400000000000000133e+00,8.200000000000001066e+00
1.450000000000000178e+00,8.200000000000001066e+00
1.500000000000000000e+00,8.200000000000001066e+00
1.550000000000000266e+00,8.200000000000001066e+00
1.600000000000000089e+00,8.200000000000001066e+00
1.649999999999999911e+00,8.199999999999999289e+00
1.700000000000000178e+00,8.200000000000001066e+00
1.750000000000000000e+00,8.200000000000001066e+00
1.800000000000000044e+00,8.200000000000001066e+00
1.850000000000000089e+00,8.200000000000001066e+00
1.899999999999999911e+00,8.200000000000001066e+00
1.949999999999999956e+00,8.200000000000001066e+00
2.000000000000000000e+00,8.200000000000002842e+00
2.049999999999999822e+00,8.200000000000001066e+00
2.100000000000000089e+00,8.200000000000001066e+00
2.150000000000000355e+00,8.200000000000001066e+00
2.200000000000000178e+00,8.200000000000001066e+00
2.250000000000000000e+00,8.200000000000001066e+00
2.299999999999999822e+00,8.200000000000002842e+00
2.350000000000000089e+00,8.200000000000001066e+00
2.399999999999999911e+00,8.200000000000001066e+00
2.450000000000000178e+00,8.200000000000001066e+00
2.500000000000000000e+00,8.200000000000001066e+00
2.549999999999999822e+00,8.200000000000001066e+00
2.600000000000000089e+00,8.200000000000001066e+00
2.649999999999999911e+00,8.200000000000001066e+00
2.700000000000000178e+00,8.200000000000001066e+00
2.750000000000000000e+00,8.200000000000001066e+00
2.799999999999999822e+00,8.200000000000001066e+00
2.850000000000000089e+00,8.200000000000001066e+00
2.899999999999999911e+00,8.200000000000001066e+00
2.950000000000000178e+00,8.200000000000001066e+00
3.000000000000000000e+00,8.200000000000001066e+00
3.049999999999999822e+00,8.200000000000001066e+00
3.100000000000000089e+00,8.200000000000001066e+00
