scenario,controller,path_id,seed_offset,termination_reason,congestion_tier,spawned_dyn_obs_count,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,static_body_collision_steps,static_zone_violation_steps,dyn_body_collision_steps,dyn_exclusion_violation_steps,total_body_collision_steps,worst_dyn_excl_depth,worst_dyn_excl_step,worst_dyn_excl_obs,min_dyn_body_clearance,min_dyn_body_clearance_step,min_dyn_body_clearance_obs,mean_active_dyn_obs,max_active_dyn_obs,mean_state_mismatch,max_state_mismatch,min_clearance_m,error
CorridorStructured,mpc_hard,10,4,goal_reached,low,4,1,619,61.9,54.4241,0.821,0.8292,0.3913,11.9132,0.2513,0.417,1.2579,0.3328,-0.0085,0.0253,0.0494,0.0238,38.49,187.5,16.62,0,0,81,0,0,0,0.0,431,2,0.367745,346,2,0.9192,2,0.0,0.0,0.2,
CorridorStructured,mpc_hard,10,18,goal_reached,low,4,1,536,53.6,52.4842,0.8514,0.9792,0.0724,9.641,0.0524,0.1396,0.817,0.1294,-0.0038,0.0205,0.0494,0.0201,22.46,42.31,4.72,0,0,0,0,0,0,0.0,165,1,0.380648,171,1,0.7407,2,0.0,0.0,0.380648,
CorridorStructured,mpc_hard,10,17,goal_reached,low,4,1,536,53.6,52.2124,0.8558,0.9741,0.0773,7.0068,0.017,0.0363,0.1916,0.0321,-0.0062,0.0152,0.0491,0.0138,24.78,45.11,5.65,0,0,0,0,0,0,0.0,158,3,0.40623,159,3,0.8675,3,0.0,0.0,0.40623,
CorridorStructured,mpc_hard,10,19,goal_reached,low,4,1,536,53.6,52.1233,0.8573,0.9724,0.0801,6.6338,0.0168,0.041,0.2449,0.0374,-0.0053,0.0151,0.0491,0.0141,23.87,34.21,3.85,0,0,0,0,0,0,0.0,210,0,0.529789,211,0,0.7892,2,0.0,0.0,0.511176,
CorridorStructured,mpc_hard,10,0,goal_reached,mid,8,1,536,53.6,52.7005,0.8479,0.9832,0.0736,8.9866,0.0816,0.1709,0.8386,0.1502,-0.0046,0.0282,0.2202,0.0279,23.13,378.93,17.07,0,0,0,0,0,0,0.0,134,7,0.368037,368,4,1.5243,4,0.0,8.7e-09,0.35114,
CorridorStructured,mpc_hard,10,16,goal_reached,low,4,1,536,53.6,52.5526,0.8503,0.9805,0.0662,8.4276,0.0452,0.1378,0.826,0.1301,-0.0057,0.0185,0.0491,0.0176,35.18,85.02,7.17,0,0,0,0,0,0,0.0,279,0,0.380646,280,0,0.681,2,0.0,0.0,0.380646,
CorridorStructured,mpc_hard,10,8,solver_fail:Restoration_Failed,mid,8,0,188,18.8,18.45,2.4219,0.9814,0.1078,5.0911,0.1097,0.1955,0.6075,0.1618,-0.0217,0.0333,0.0491,0.0252,45.46,709.13,73.38,3,0,0,0,1,0,0.034909,187,6,0.378028,102,5,1.6862,4,1e-10,2.05e-08,0.235599,
CorridorStructured,mpc_hard,10,1,goal_reached,mid,8,1,538,53.8,53.0273,0.8427,0.9856,0.0676,12.8389,0.1003,0.1979,0.7262,0.1706,-0.0035,0.0282,0.0495,0.028,28.05,602.03,28.12,1,0,0,0,0,0,0.0,370,5,0.367607,367,5,1.5929,3,1e-10,2.5e-08,0.367607,
CorridorStructured,mpc_hard,10,9,solver_fail:Infeasible_Problem_Detected,mid,8,0,201,20.1,17.6885,2.5261,0.8693,0.3075,5.2245,0.182,0.2674,0.6495,0.196,-0.0072,0.0267,0.0491,0.0257,42.65,355.92,35.77,1,0,17,0,1,0,0.040873,200,3,0.362336,200,3,1.6318,3,0.0,0.0,0.2,
CorridorStructured,mpc_hard,10,6,solver_fail:Restoration_Failed,mid,8,0,265,26.5,25.5398,1.7496,0.6764,0.7006,9.4028,0.1778,0.3236,1.0048,0.2704,-0.0067,0.0262,0.0492,0.0253,43.18,304.92,33.12,1,0,0,0,1,0,0.035587,264,5,0.367702,176,3,1.8679,4,3.6e-09,9.127e-07,0.277033,
CorridorStructured,mpc_hard,10,15,solver_fail:Infeasible_Problem_Detected,mid,8,0,216,21.6,20.5333,2.1762,0.9506,0.154,4.8848,0.109,0.2039,0.6012,0.1723,-0.0165,0.0278,0.0491,0.0224,34.24,203.76,20.86,1,0,3,0,0,0,0.0,96,7,0.367879,96,7,1.4213,3,0.0,0.0,0.2,
CorridorStructured,mpc_hard,10,3,goal_reached,mid,8,1,633,63.3,52.0264,0.8589,0.1,0.8892,12.5035,0.3769,0.5635,1.4579,0.4189,-0.0011,0.024,0.0493,0.024,28.61,162.74,13.89,0,0,120,0,0,0,0.0,291,5,0.393705,410,5,1.9242,4,0.0,4.7e-09,0.2,
CorridorStructured,mpc_hard,10,14,solver_fail:Infeasible_Problem_Detected,mid,8,0,352,35.2,32.8808,1.359,0.9221,0.2504,8.3817,0.1389,0.2569,0.9194,0.2161,-0.0064,0.0295,0.0493,0.0288,26.68,297.1,17.39,1,0,3,0,0,0,0.0,267,7,0.371471,276,7,1.8068,4,0.0,2e-10,0.2,
CorridorStructured,mpc_hard,10,10,goal_reached,mid,8,1,536,53.6,52.6845,0.8481,0.9829,0.0639,9.3216,0.0663,0.1442,0.6453,0.128,-0.0039,0.0251,0.1019,0.0248,25.31,91.76,8.84,0,0,0,0,0,0,0.0,128,1,0.376434,244,2,1.2369,4,0.0,2.8e-09,0.376434,
CorridorStructured,mpc_hard,10,11,goal_reached,mid,8,1,543,54.3,51.7786,0.863,0.953,0.1747,11.2853,0.1238,0.2086,0.7971,0.1679,-0.0053,0.0271,0.0497,0.0266,25.24,213.23,13.61,0,0,3,0,0,0,0.0,353,6,0.373599,353,6,1.5525,3,0.0,2.7e-09,0.2,
CorridorStructured,mpc_hard,10,4,goal_reached,mid,8,1,536,53.6,52.2924,0.8545,0.9756,0.088,11.0202,0.0633,0.1283,0.6062,0.1116,-0.0036,0.0226,0.0493,0.0223,37.13,310.88,17.96,0,0,2,0,0,0,0.0,138,6,0.367517,139,6,1.6884,4,5e-10,2.602e-07,0.2,
CorridorStructured,mpc_hard,10,13,goal_reached,mid,8,1,536,53.6,52.3663,0.8533,0.977,0.0724,8.5059,0.0307,0.0834,0.5228,0.0776,-0.0056,0.0187,0.0496,0.0178,25.26,38.99,4.71,0,0,0,0,0,0,0.0,264,1,0.368788,265,1,1.4963,4,0.0,0.0,0.368788,
CorridorStructured,mpc_hard,10,16,solver_fail:Restoration_Failed,mid,8,0,425,42.5,27.691,1.6137,0.2467,0.7464,8.6134,0.4711,0.6298,1.2227,0.418,-0.0116,0.0273,0.0496,0.0248,33.29,207.99,21.46,1,0,136,0,1,0,0.000865,424,3,0.38444,271,4,2.0118,4,0.0,1e-10,0.2,
CorridorStructured,mpc_hard,10,7,goal_reached,mid,8,1,541,54.1,52.9065,0.8446,0.9779,0.0877,11.4154,0.1403,0.2402,0.8747,0.195,-0.0111,0.0301,0.3121,0.028,40.26,516.33,28.18,1,0,4,0,0,0,0.0,363,7,0.367782,339,7,1.6932,4,3e-10,1.119e-07,0.2,
CorridorStructured,mpc_hard,10,5,max_steps,mid,8,0,800,80.0,57.6565,0.775,-0.3942,0.7019,13.6898,0.6616,0.7536,1.5952,0.3608,-0.0005,0.0285,0.0496,0.0285,31.0,382.83,17.54,1,0,422,0,0,0,0.0,385,6,0.367424,247,6,1.3062,4,0.0,3.3e-09,0.2,
CorridorStructured,mpc_hard,10,8,solver_fail:Infeasible_Problem_Detected,high,12,0,172,17.2,16.7886,2.6616,0.9761,0.1129,4.3656,0.1302,0.2461,0.8541,0.2089,-0.0103,0.0281,0.0491,0.0261,29.1,411.69,31.83,1,0,0,0,0,0,0.0,170,2,0.433616,159,2,1.9477,4,0.0,6.2e-09,0.35257,
CorridorStructured,mpc_hard,10,6,solver_fail:Infeasible_Problem_Detected,high,12,0,233,23.3,20.0359,2.2302,0.8532,0.3214,3.7072,0.0769,0.1736,0.4901,0.1557,-0.0137,0.0245,0.0491,0.0203,29.94,251.94,23.13,1,0,7,0,0,0,0.0,231,11,0.442784,126,10,1.9742,4,0.0,5e-10,0.2,
CorridorStructured,mpc_hard,10,12,goal_reached,mid,8,1,536,53.6,53.3278,0.8379,0.9949,0.0438,13.6606,0.1444,0.2497,0.8571,0.2037,-0.0061,0.0282,0.0494,0.0276,37.54,237.41,19.8,1,0,0,0,0,0,0.0,387,2,0.367699,142,7,1.7257,4,2e-10,7.67e-08,0.263967,
CorridorStructured,mpc_hard,10,0,solver_fail:Infeasible_Problem_Detected,high,12,0,420,42.0,40.935,1.0916,0.9746,0.0974,10.9226,0.0735,0.1584,0.6805,0.1404,-0.0082,0.0246,0.0491,0.0232,38.85,205.69,12.93,1,0,0,0,0,0,0.0,416,1,0.367494,384,9,2.6952,4,0.0,0.0,0.209178,
CorridorStructured,mpc_hard,10,17,goal_reached,mid,8,1,540,54.0,53.1065,0.8414,0.9835,0.0729,10.4355,0.0893,0.1769,0.6664,0.1527,-0.0041,0.0326,0.3347,0.0324,38.16,732.84,33.87,1,0,0,0,0,0,0.0,390,7,0.368,181,4,1.4944,3,2e-10,4.2e-08,0.368,
CorridorStructured,mpc_hard,10,4,goal_reached,high,12,1,536,53.6,52.3238,0.854,0.9762,0.0755,9.2285,0.0346,0.0755,0.3751,0.0671,-0.0065,0.0178,0.0493,0.0166,25.94,96.58,6.22,0,0,0,0,0,0,0.0,161,4,0.369651,185,7,1.9664,4,1.4e-09,7.579e-07,0.369651,
CorridorStructured,mpc_hard,10,2,solver_fail:Infeasible_Problem_Detected,high,12,0,418,41.8,22.6256,1.9749,0.4708,0.4982,6.6745,0.3972,0.463,0.8265,0.2379,-0.0034,0.0298,0.0496,0.0296,39.25,416.73,24.0,2,0,222,0,0,0,0.0,199,10,0.367433,192,10,2.677,4,0.0,2.1e-09,0.2,
