controller,n_runs,scenario,completion_time_s_mean,completion_time_s_std,dyn_body_collision_steps_mean,dyn_body_collision_steps_std,dyn_exclusion_violation_steps_mean,dyn_exclusion_violation_steps_std,goal_reached_mean,goal_reached_std,max_cont_err_mean,max_cont_err_std,max_solve_ms_mean,max_solve_ms_std,mean_cont_err_mean,mean_cont_err_std,mean_lag_err_mean,mean_lag_err_std,mean_solve_ms_mean,mean_solve_ms_std,mean_speed_mean,mean_speed_std,min_clearance_m_mean,min_clearance_m_std,min_dyn_body_clearance_mean,min_dyn_body_clearance_std,path_efficiency_mean,path_efficiency_std,rms_cont_err_mean,rms_cont_err_std,rms_lag_err_mean,rms_lag_err_std,smoothness_mean,smoothness_std,solver_fail_count_mean,solver_fail_count_std,static_body_collision_steps_mean,static_body_collision_steps_std,static_zone_violation_steps_mean,static_zone_violation_steps_std,total_body_collision_steps_mean,total_body_collision_steps_std,worst_dyn_excl_depth_mean,worst_dyn_excl_depth_std
mpcc_soft,60,CorridorStructured,58.2,4.382085,0.0,0.0,12.933333,10.923776,0.966667,0.179505,0.945952,0.37579,243.831167,262.20351,0.108497,0.055357,-0.00324,0.004335,52.2265,11.942056,0.921582,0.083787,0.293778,0.089881,0.374328,0.061708,0.842688,0.073791,0.223667,0.099964,0.03508,0.011604,12.229113,3.199316,0.05,0.217945,0.0,0.0,1.15,2.056089,0.0,0.0,0.042538,0.121645
mpcc_soft,60,OpenClutter,55.27,1.979924,0.0,0.0,15.3,14.819244,1.0,0.0,1.049718,0.622443,661.006667,229.195007,0.125308,0.098311,-0.005062,0.007787,58.604167,12.083023,0.962163,0.018148,0.324983,0.125146,0.391049,0.122411,0.821888,0.017345,0.255698,0.186257,0.041145,0.02494,12.036035,3.20838,0.05,0.217945,0.0,0.0,1.45,4.641928,0.0,0.0,0.057582,0.157844
